,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
415,415,415,172092,2017-02-20 17:00:00,623,7000, ,FRIARS,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7693892,-117.1701881
416,416,416,171481,2017-02-20 18:00:00,121,700, ,VENTURA,PLACE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7721747,-117.2525503
417,417,417,171409,2017-02-20 18:03:00,528,1400, ,STATE,STREET, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.7198763,-117.1664963
418,418,418,171592,2017-02-20 20:10:00,521,1500, ,F,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,4,0,MISDEMEANOR,32.713667699999995,-117.1503648
419,419,419,171606,2017-02-20 20:18:00,124,8800, ,VILLA LA JOLLA,DRIVE, , , ,21950B,VC,PEDESTRIAN NOT TO SUDDENLY ENTER PATH ETC,1,0,,32.8686115,-117.234075
420,420,420,171480,2017-02-20 21:11:00,123,1300, ,WEST MISSION BAY,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7667502,-117.2406038
421,421,421,171420,2017-02-20 22:00:00,934,3000, ,DEL MAR HEIGHTS,ROAD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,3,0,,32.9511815,-117.2417072
422,422,422,171418,2017-02-20 22:10:00,937,14400, ,CAM DEL SUR, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.9787298,-117.149389
423,423,423,171539,2017-02-21 00:01:00,822,5400, ,UNIVERSITY,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7488508,-117.0793745
424,424,424,172311,2017-02-21 06:00:00,937,16000, ,PASEO DEL SUR, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,33.019321600000005,-117.1325874
425,425,425,171506,2017-02-21 06:30:00,321,4900, ,WARING,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7825294,-117.08713
426,426,426,171602,2017-02-21 07:55:00,622,5400, ,LINDA VISTA,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,1,0,,32.767503000000005,-117.1950965
427,427,427,171808,2017-02-21 10:46:00,824,4600, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7561885,-117.0954738
428,428,428,171522,2017-02-21 11:13:00,321,4600, ,VANDEVER,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7876878,-117.0958024
429,429,429,171593,2017-02-21 11:50:00,122,2100, ,GARNET,AVENUE, , , ,21952,VC,RIGHT OF WAY ON SIDEWALK,1,0,MISDEMEANOR,32.8017988,-117.2316686
430,430,430,171482,2017-02-21 13:20:00,115,9100, ,TOWNE CENTRE,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.869934,-117.207082
431,431,431,171535,2017-02-21 13:50:00,517,1300, ,20TH,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,32.717718100000006,-117.1460687
432,432,432,171515,2017-02-21 15:25:00,621,6700, ,TAIT,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7810213,-117.1748242
433,433,433,171524,2017-02-21 16:10:00,115,5100, ,GOVERNOR,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY,1,0,,32.855693,-117.186606
434,434,434,171503,2017-02-21 16:24:00,315,2700, ,CAM DEL RIO, , , , ,21800A,VC,UNCONTROLLED INTERSECTIONYIELD TO FIRST VEHICLE WITHIN,4,0,,32.7730925,-117.13339270000002
