,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
1000,186185,2018-08-06 20:07:00,712,300,W,SAN YSIDRO,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.554586,-117.0497923
1001,186287,2018-08-06 22:34:00,516,3100, ,IMPERIAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7067047,-117.1273528
1002,185971,2018-08-06 23:00:00,314,3200, ,BERGER,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8031454,-117.1519071
1003,186337,2018-08-07 00:31:00,112,3600, ,MT ACADIA,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8071361,-117.1823975
1004,185992,2018-08-07 01:40:00,614,4900, ,NEWPORT,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7458461,-117.2493391
1005,186237,2018-08-07 05:20:00,114,4600, ,CLAIREMONT,DRIVE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.8277656,-117.2061953
1006,186007,2018-08-07 06:00:00,437,6500, ,OMEGA,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.676425,-117.0452586
1007,186039,2018-08-07 07:16:00,315,9400, ,FRIARS,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.7869076,-117.1197976
1008,186064,2018-08-07 08:00:00,622,5800, ,LAURETTA,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7680921,-117.1890039
1009,186547,2018-08-07 10:06:00,712,4100, ,CAM DE LA PLAZA, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.5441377,-117.0411224
1010,186051,2018-08-07 10:30:00,515,2900, ,K,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,32.708638,-117.1319057
1011,186008,2018-08-07 10:45:00,122,900, ,HORNBLEND,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.796047,-117.2533686
1012,186066,2018-08-07 14:53:00,113,3400, ,BALBOA,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.808144,-117.2098557
1013,186032,2018-08-07 16:47:00,242,9600, ,CAPRICORN,WAY, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.9256541,-117.1206354
1014,186631,2018-08-07 18:14:00,122,4500, ,MISSION BAY,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR,32.8026293,-117.2164549
1015,186212,2018-08-07 18:50:00,724,2200, ,PALM,AVENUE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.5838982,-117.0870259
1016,186033,2018-08-07 19:30:00,235,18500, ,SAN PASQUAL VALLEY,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,33.0845624,-116.9160701
1017,186029,2018-08-07 20:00:00,437,700,S,WOODMAN,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,MISDEMEANOR,32.7108565,-117.0548756
