,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19608,SS-019470,63.982,MUIRLANDS DR,EL CAM DEL TEATRO,EL CAM DEL TEATRO,127.3801,20.0,Prime,AC Improved,2547.6020000000003,Fair,163000.671164,32.831474,-117.262466,32.831474,-117.262466
19609,SS-019471,64.33,MUIRLANDS DR,LA CUMBRE DR,EL CAM DEL TEATRO,323.0,20.0,Residential,AC Improved,6460.0,Fair,415571.8,32.8285243,-117.2612008,32.831474,-117.262466
19610,SS-019472,69.25,MUIRLANDS DR,LA JOLLA MESA DR,LA CUMBRE DR,374.0,20.0,Residential,AC Improved,7480.0,Fair,517990.0,32.8275062,-117.2612247,32.8285243,-117.2612008
19611,SS-019473,95.5,MUIRLANDS DR,INSPIRATION DR,LA JOLLA MESA DR,257.9926,20.0,Prime,PCC Jointed Concrete,5159.852,Good,492765.86600000004,32.8271037,-117.2619128,32.8275062,-117.2612247
19612,SS-019474,75.25,MUIRLANDS DR,SOLYMAR DR,INSPIRATION DR,269.8638,20.0,Prime,PCC Jointed Concrete,5397.276,Good,406145.019,32.8270537,-117.2627946,32.8271037,-117.2619128
19613,SS-019475,54.478,MUIRLANDS DR,MUIRLANDS VISTA WY,SOLYMAR DR,816.0289,20.0,Residential,PCC Jointed Concrete,16320.578000000001,Fair,889112.448284,32.826,-117.269463,32.8270537,-117.2627946
19614,SS-019476,60.251999999999995,MUIRLANDS DR,SOLYMAR DR,SOLYMAR DR,1966.4776,20.0,Prime,PCC Jointed Concrete,39329.552,Fair,2369684.167104,32.8270537,-117.2627946,32.8270537,-117.2627946
19616,SS-019478,47.11,MUIRLANDS VISTA WY,MUIRLANDS DR,NAUTILUS ST,3445.4432,36.0,Residential,AC Improved,124035.9552,Fair,5843333.849472,32.826,-117.269463,32.8326296,-117.2643808
19617,SS-019479,54.176,MULBERRY ST,ALCEDO ST,MALLARD ST,806.1393,40.0,Residential,AC Unimproved,32245.572,Fair,1746936.1086720002,32.7280986,-117.0547611,32.7296044,-117.0528632
19618,SS-019480,61.001999999999995,MULBERRY ST,BLUEBIRD ST,ALCEDO ST,493.3155,40.0,Residential,AC Unimproved,19732.62,Fair,1203729.2852399999,32.727174,-117.0559484,32.7280986,-117.0547611
19619,SS-019481,62.54,MULBERRY ST,PARADISE ST,BLUEBIRD ST,712.7054,40.0,Residential,AC Unimproved,28508.216,Fair,1782903.8286400002,32.725873,-117.0576785,32.727174,-117.0559484
19621,SS-019483,82.568,MULGRAVE RD,PETENWELL RD,SCRIPPS CREEK DR,272.1812,36.0,Residential,AC Improved,9798.5232,Good,809044.4635776,32.9299282,-117.0918507,32.9303591,-117.0911267
